year,session_name,session_path,session_type,people_min,people_max,confidence,evidence,notes,venue_type,venue_basis
2013,2013.06.28 한국외대 훈련,j:\공유 드라이브\2013 사진 영상\2013.06.28 한국외대 훈련,GROUP,10,15,B,Direct count of people on the dock and in boats across multiple shots,,아웃도어,evidence
2013,2013.07.16 서울대 훈련,j:\공유 드라이브\2013 사진 영상\2013.07.16 서울대 훈련,,,,,,no_supported_images_found: .db:1,N/A,-
2013,2013.05.02 SK브로드밴드,j:\공유 드라이브\2013 사진 영상\2013.05.02 SK브로드밴드,GROUP,25,35,A,manual_count_from_group_formation_shot,,불명,-
2013,2013.05.25 동서.윤원일,j:\공유 드라이브\2013 사진 영상\2013.05.25 동서.윤원일,MEGA,45,60,A,"Multiple rows of 15+ participants in team vests (white, orange, black, yellow) and over 6 rowing machines visible.",,인도어,evidence
2013,2013.06.04 메트라이프.용인퓨처리더십센터.윤원일,j:\공유 드라이브\2013 사진 영상\2013.06.04 메트라이프.용인퓨처리더십센터.윤원일,GROUP,25,35,A,direct_counting_from_standing_group_photo,,인도어,name
2013,2013.11.09 (미확인) 미사리 백경훈,j:\공유 드라이브\2013 사진 영상\2013.11.09 (미확인) 미사리 백경훈,,,,,,"no_supported_images_found: .3gp:3, .db:1",N/A,-
2013,2013.11.11 (미확인) 미사리 백경훈,j:\공유 드라이브\2013 사진 영상\2013.11.11 (미확인) 미사리 백경훈,GROUP,20,35,B,"Multiple color vests (Red, Blue, Yellow) and large boat carrying group (approx 16+ per boat)",,아웃도어,name
2013,2013.11.14 (미확인) 인도어 윤종성,j:\공유 드라이브\2013 사진 영상\2013.11.14 (미확인) 인도어 윤종성,,,,,,no_supported_images_found: .3gp:3,N/A,-
2013,2013.11.17 나이키 위런,j:\공유 드라이브\2013 사진 영상\2013.11.17 나이키 위런,MEGA,100,300,B,10 rowing lanes on digital screen and large outdoor crowd,,혼합,name+evidence
2013,2013.08.03 부산광역시장배,,,,,,,excluded,N/A,-
2013,2013.08.02 장애인체육 조정강습회,j:\공유 드라이브\2013 사진 영상\2013.08.02 장애인체육 조정강습회,GROUP,15,25,A,Visible 6 rowing machines with 15+ distinct participants queuing and rotating,,인도어,evidence
2013,2013.07.19 컨셉촬영 홈페이지제작용,j:\공유 드라이브\2013 사진 영상\2013.07.19 컨셉촬영 홈페이지제작용,SMALL,5,10,B,rowing_crew_of_5_plus_instructors_and_other_staff_visible,,불명,-
2013,2013.05.30-06.02 경기국제보트쇼 킨텍스,,,,,,,excluded,N/A,-
2013,2013.10.01-03 제33회 장애인체육대회,,,,,,,excluded,N/A,-
2013,2013.10.13 KSPO 체육장학금 수여식,j:\공유 드라이브\2013 사진 영상\2013.10.13 KSPO 체육장학금 수여식,GROUP,18,25,A,direct_counting_of_group_photo,,불명,-
2013,2013.11.13 상상인 워크샵 이정민선수 후원,j:\공유 드라이브\2013 사진 영상\2013.11.13 상상인 워크샵 이정민선수 후원,GROUP,15,25,B,three_boats_with_five_crew_members_each,,아웃도어,evidence
2013,2013.10.22 전국체육대회,,,,,,,excluded,N/A,-
2013,2013.10.27 제1회 기흥호수배 조정대회,,,,,,,excluded,N/A,-
2013,2013.04.15 롯데카드,j:\공유 드라이브\2013 사진 영상\2013.04.15 롯데카드,GROUP,35,45,A,direct count of people standing in formation and rowing machines,,인도어,evidence
2013,2013.04.18 오픈타이드코리아,j:\공유 드라이브\2013 사진 영상\2013.04.18 오픈타이드코리아,GROUP,32,60,B,"4 vest colors (light green, yellow, orange, white) x 8-15 people",,불명,-
2013,2013.05.06 삼성전자 미사리,j:\공유 드라이브\2013 사진 영상\2013.05.06 삼성전자 미사리,GROUP,24,45,B,three_vest_colors_observed_blue_red_neon_and_6_plus_rowing_machines,,아웃도어,name
2013,2013.04.11 경주 동희그룹,j:\공유 드라이브\2013 사진 영상\2013.04.11 경주 동희그룹,GROUP,32,60,B,"three colors (red, blue, lime/orange) visible across multiple photos",,불명,-
2013,2013.05.01 LIG,j:\공유 드라이브\2013 사진 영상\2013.05.01 LIG,GROUP,32,60,B,"at least 4 colored teams (blue, orange, yellow, black) visible with rowers and support staff",,불명,-
2013,2013.05.13 경기국제보트쇼,,,,,,,excluded,N/A,-
2013,2013.05.55 메트라이프 천안재능연수원,j:\공유 드라이브\2013 사진 영상\2013.05.55 메트라이프 천안재능연수원,GROUP,40,75,B,at least 5 color-coded vest teams with 8+ members per team and 6+ machines visible,,인도어,name
2013,2013.10.15 비품점검.미사리(백경훈이 말 안들어 처먹고 대충 하다가 돌풍에 텐트 해 먹은 날),j:\공유 드라이브\2013 사진 영상\2013.10.15 비품점검.미사리(백경훈이 말 안들어 처먹고 대충 하다가 돌풍에 텐트 해 먹은 날),,,,,,no_supported_images_found: .3gp:1,N/A,-
2013,2013.10.18 신젠타코리아,j:\공유 드라이브\2013 사진 영상\2013.10.18 신젠타코리아,GROUP,45,65,A,direct_counting_from_seated_group_and_3_colored_vests,,인도어,evidence
2013,2013.06.19 흥국 양평미리내.윤종성(녹취완료),j:\공유 드라이브\2013 사진 영상\2013.06.19 흥국 양평미리내.윤종성(녹취완료),,,,,,"no_supported_images_found: .sfap0:3, .sfk:3, .wmv:3, .bak:1, .veg:1",N/A,-
2013,2013.06.05 흥국 양평미리내,j:\공유 드라이브\2013 사진 영상\2013.06.05 흥국 양평미리내,GROUP,40,60,A,"Multiple colored vests (red, blue, yellow, green) with approx 10+ people per team visible in the room",,인도어,name
2013,2013.06.10 흥국 양평미리내,j:\공유 드라이브\2013 사진 영상\2013.06.10 흥국 양평미리내,MEGA,64,120,A,8 rowing machines labeled up to 8 and at least 4 team vest colors visible,,인도어,name
2013,2013.07.04 흥국 양평미리내.윤종성,j:\공유 드라이브\2013 사진 영상\2013.07.04 흥국 양평미리내.윤종성,GROUP,35,50,A,direct_counting_of_participants_in_vests_orange_yellow_purple_red_green,,인도어,name
2013,2013.07.08 흥국 양평미리내.윤종성,j:\공유 드라이브\2013 사진 영상\2013.07.08 흥국 양평미리내.윤종성,GROUP,40,60,A,direct_counting_group_shot_and_multiple_team_vest_colors,,인도어,name
2013,2013.07.10 흥국 양평미리내.윤원일,j:\공유 드라이브\2013 사진 영상\2013.07.10 흥국 양평미리내.윤원일,GROUP,32,60,B,"at least 4 colored teams (orange, blue, yellow, red) with 8-15 people each",,인도어,name
2013,2013.07.24 흥국 양평미리내.윤종성,j:\공유 드라이브\2013 사진 영상\2013.07.24 흥국 양평미리내.윤종성,GROUP,48,90,B,"6 vest colors (blue, red, orange, yellow, green, purple) visible with multiple participants per color",,인도어,name
2013,2013.07.25 흥국 양평미리내.윤원일,j:\공유 드라이브\2013 사진 영상\2013.07.25 흥국 양평미리내.윤원일,,,,,,no_supported_images_found: .mpg:4,N/A,-
2013,2013.07.27 대학조정대회2013,,,,,,,excluded,N/A,-
2013,2013.06.17 흥국 양평미리내.윤종성,j:\공유 드라이브\2013 사진 영상\2013.06.17 흥국 양평미리내.윤종성,,,,,,"no_supported_images_found: .mp4:1, .wav:1",N/A,-
2013,2013.05.15 나이키 미사리,j:\공유 드라이브\2013 사진 영상\2013.05.15 나이키 미사리,GROUP,25,35,B,"direct count of three color groups (white, black, blue) and instructors",,아웃도어,name
2013,2013.05.16 용인백현중학교 미사리,j:\공유 드라이브\2013 사진 영상\2013.05.16 용인백현중학교 미사리,GROUP,12,36,B,at least 12 rowing machines visible with 1-3 rotations per session,,혼합,name+evidence
2013,2013.06.03 백석대 장안대,j:\공유 드라이브\2013 사진 영상\2013.06.03 백석대 장안대,GROUP,30,50,B,indoor_outdoor_crowd_and_multiple_boats_visible,,혼합,name+evidence
2013,2013.08.21 메트라이프 안성TS인재개발원.윤종성,j:\공유 드라이브\2013 사진 영상\2013.08.21 메트라이프 안성TS인재개발원.윤종성,GROUP,15,30,A,direct_count_of_visible_participants_in_vests,,인도어,name
2013,2013.08.30 하남 코치숙소 방문,j:\공유 드라이브\2013 사진 영상\2013.08.30 하남 코치숙소 방문,SMALL,5,8,A,direct_count_from_group_selfie_and_window_reflections,,불명,-
2013,2013.09.05 메트라이프 용인FLC.윤종성,j:\공유 드라이브\2013 사진 영상\2013.09.05 메트라이프 용인FLC.윤종성,GROUP,32,60,A,"4 team colors (white, navy, yellow, green) visible with at least 8 rowers per team plus 8 rowing machines",,인도어,name
2013,2013.09.10 (미확인) 미사리,j:\공유 드라이브\2013 사진 영상\2013.09.10 (미확인) 미사리,,,,,,no_supported_images_found: .3gp:1,N/A,-
2013,2013.09.13 BR코리아.미사리 백경훈,j:\공유 드라이브\2013 사진 영상\2013.09.13 BR코리아.미사리 백경훈,GROUP,24,45,B,"three team colors (green, orange, white) visible with multiple participants per group",,아웃도어,name
2013,2013.10.10 LG 미사리.백경훈,j:\공유 드라이브\2013 사진 영상\2013.10.10 LG 미사리.백경훈,GROUP,16,16,A,direct_counting_from_group_shot,,아웃도어,name
2013,2013.10.11 멕ICS 미사리.백경훈,j:\공유 드라이브\2013 사진 영상\2013.10.11 멕ICS 미사리.백경훈,MEGA,24,60,B,"Multiple color vests (Green, Yellow, Red, Orange) observed with at least 2 machines",,아웃도어,name
2014,2014.07.10 서울특별시 장애인체육회 가맹단체 세미나,j:\공유 드라이브\2014 사진 영상\2014.07.10 서울특별시 장애인체육회 가맹단체 세미나,GROUP,20,40,B,indoor seminar venue with visible participants and seating capacity,,인도어,evidence
2014,2014.02.22 제13회 전국실내조정선수권대회,,,,,,,excluded,N/A,-
2014,2014.06.13 서울장애인조정대회 영등포장애인복지관,,,,,,,excluded,N/A,-
2014,2014.08.07 AGNS 기자단 워크샵,j:\공유 드라이브\2014 사진 영상\2014.08.07 AGNS 기자단 워크샵,GROUP,30,50,A,direct_count_from_seminar_room_photos,,인도어,evidence
2014,2014.08.29 충주탄금호배 전국조정대회,,,,,,,excluded,N/A,-
2014,2014.10.14-21 인천장애인아시안게임 운영위원활동,j:\공유 드라이브\2014 사진 영상\2014.10.14-21 인천장애인아시안게임 운영위원활동,GROUP,25,35,A,direct_counting_from_group_photo,,불명,-
2014,2014.11.08 서울로잉클럽 훈련,j:\공유 드라이브\2014 사진 영상\2014.11.08 서울로잉클럽 훈련,GROUP,12,25,B,multiple_people_walking_on_shore_and_2_rowers_in_boat,,아웃도어,evidence
2014,2014.07.02 아산서원,j:\공유 드라이브\2014 사진 영상\2014.07.02 아산서원,GROUP,25,35,A,direct_counting_from_group_formation_shots,,아웃도어,name
2014,2014.05.30 위드블로그,j:\공유 드라이브\2014 사진 영상\2014.05.30 위드블로그,GROUP,45,55,A,direct_counting_from_group_shot_and_seating_photos,,인도어,name
2014,2014.05.22 중외그룹,j:\공유 드라이브\2014 사진 영상\2014.05.22 중외그룹,GROUP,32,60,B,"4 vest colors (Red, Purple, Orange, Neon) visible across session photos",,불명,-
2014,2014.04.24 푸르덴셜 미사리,j:\공유 드라이브\2014 사진 영상\2014.04.24 푸르덴셜 미사리,GROUP,12,24,B,"Directly visible 12 people sitting in session, plus 6+ rowing machines observed in background.",,혼합,name+evidence
2014,2014.03 고촌중학교,j:\공유 드라이브\2014 사진 영상\2014.03 고촌중학교,GROUP,38,45,A,Direct count from group photos including 35+ students and staff members.,,불명,-
2014,2014.10.25 백학중학교,j:\공유 드라이브\2014 사진 영상\2014.10.25 백학중학교,GROUP,24,45,B,"three bib colors (orange, red, blue) multiplied by 8-15 people per team",,불명,-
2014,2014.04.26.아산서원 아웃도어 교육,j:\공유 드라이브\2014 사진 영상\2014.04.26.아산서원 아웃도어 교육,GROUP,28,35,A,direct_counting_from_outdoor_training_shot,,아웃도어,name
2014,2014.09.22 sk홀딩스,j:\공유 드라이브\2014 사진 영상\2014.09.22 sk홀딩스,GROUP,32,60,A,"4 vest colors(yellow, lime, blue, red) visible with group counting",,불명,-
2014,2014.09.26 롯대면세점2차,j:\공유 드라이브\2014 사진 영상\2014.09.26 롯대면세점2차,GROUP,32,60,A,"4 teams visible (Lime, Red, Orange, Black/White) with approx 8-15 members per team and 8 rowing machines.",,인도어,evidence
2014,2014.09.29 SK홀딩스,j:\공유 드라이브\2014 사진 영상\2014.09.29 SK홀딩스,GROUP,40,75,B,"5 colored teams (red, orange, lime, green, white) visible with 8-15 members per team estimated",,불명,-
2014,2014.10.01 목동 한국전파진흥협회,j:\공유 드라이브\2014 사진 영상\2014.10.01 목동 한국전파진흥협회,GROUP,24,45,B,"3 teams (orange, white, black) identified x 8-15 people per team",,불명,-
2014,2014.10.10.아산서원.미사리.백경훈,j:\공유 드라이브\2014 사진 영상\2014.10.10.아산서원.미사리.백경훈,GROUP,20,35,A,direct_counting_from_tent_and_exercise_shots,,아웃도어,name
2014,2014.10.13 ADT캡스(한국야쿠르트인재개발원),j:\공유 드라이브\2014 사진 영상\2014.10.13 ADT캡스(한국야쿠르트인재개발원),GROUP,48,90,B,"5 color-coded vest teams (purple, lime, orange, black, blue) with multiple rowing machines",,인도어,name
2014,2014.10.16 한국지역난방공사(롯대인재개발원),j:\공유 드라이브\2014 사진 영상\2014.10.16 한국지역난방공사(롯대인재개발원),GROUP,20,48,A,"4 teams (Lime, Pink, Red, White) identified; 5-6 names listed per score sheet for each team",,인도어,name
2014,2014.10.20 마이크로소프트 아웃도어.워밍업장,j:\공유 드라이브\2014 사진 영상\2014.10.20 마이크로소프트 아웃도어.워밍업장,GROUP,16,32,B,multiple 4-person boats visible with at least 10+ people in a single gathering shot,,아웃도어,name
2014,2014.10.23 중부발전,j:\공유 드라이브\2014 사진 영상\2014.10.23 중부발전,GROUP,32,60,A,"4 colored vest teams (Red, Yellow, Blue, Green) with over 30 people visible in wide shot",,불명,-
2014,2014.10.23 한국지역난방공사,j:\공유 드라이브\2014 사진 영상\2014.10.23 한국지역난방공사,GROUP,32,60,B,"Four colors of vests (orange, white, lime, blue) observed, assuming 8-15 people per team.",,불명,-
2014,2014.10.24 세코툴스코리아,j:\공유 드라이브\2014 사진 영상\2014.10.24 세코툴스코리아,GROUP,16,30,B,"2 teams (lime, green) visible with at least 8 members per group photo",,불명,-
2014,2014.10.25 삼보모터스,j:\공유 드라이브\2014 사진 영상\2014.10.25 삼보모터스,MEGA,80,100,A,direct_count_from_group_photo_and_score_sheets,,불명,-
2014,2014.10.28 한국지역난방공사,j:\공유 드라이브\2014 사진 영상\2014.10.28 한국지역난방공사,MEGA,24,60,A,scorecards_showing_multiple_teams_with_6_members_each,,인도어,evidence
2014,2014.11.01 SK플래닛,j:\공유 드라이브\2014 사진 영상\2014.11.01 SK플래닛,MEGA,80,120,A,"Multiple color vests (Pink, Purple, Red, Blue) and dense group shots show approximately 80-100+ participants.",,불명,-
2014,2014.11.06 메리알.부여.윤원일,j:\공유 드라이브\2014 사진 영상\2014.11.06 메리알.부여.윤원일,GROUP,24,45,B,"3 color teams(orange, lime, red) and white bibs with bib numbers up to 20 visible",,불명,-
2014,2014.11.06 한국지역난방,j:\공유 드라이브\2014 사진 영상\2014.11.06 한국지역난방,GROUP,32,60,B,"4 team colors(Red, Orange, Blue, White) with at least 8 rowers per team estimated.",,불명,-
2014,2014.11.11 메트라이프.용인FLC.백경훈,j:\공유 드라이브\2014 사진 영상\2014.11.11 메트라이프.용인FLC.백경훈,GROUP,20,35,B,"Multiple team bib colors (Red, Blue, Green, Orange, Yellow) and at least 4 rowing machines visible",,인도어,name
2014,2014.11.14 니프코코리아(아산.백경훈),j:\공유 드라이브\2014 사진 영상\2014.11.14 니프코코리아(아산.백경훈),GROUP,25,35,A,Counted 25 unique names on the participant score sheet across 3 teams,,인도어,evidence
2014,"2014.11.17 현대자동차(양평, 백경훈)","j:\공유 드라이브\2014 사진 영상\2014.11.17 현대자동차(양평, 백경훈)",GROUP,24,45,B,"three team colors (red, blue, green) and at least three rowing machines visible",,인도어,evidence
2014,2014.11.21 한국지역난방공사,j:\공유 드라이브\2014 사진 영상\2014.11.21 한국지역난방공사,GROUP,24,45,B,"3 vest colors (Red, Blue, Green) observed across multiple machines",,불명,-
2014,2014.11.27 한국지역난방(flc.백경훈),j:\공유 드라이브\2014 사진 영상\2014.11.27 한국지역난방(flc.백경훈),GROUP,24,45,B,"three team colors visible (blue, green, red) x 8-15 people per team",,인도어,name
2014,2014.12.02 한국동서발전(태안_백경훈),j:\공유 드라이브\2014 사진 영상\2014.12.02 한국동서발전(태안_백경훈),GROUP,40,75,B,"5 color vests (orange, blue, green, white, red) with 8-15 people per team",,불명,-
2014,2014.미�output,,,,,,,folder_not_found,N/A,-
2014,2014.12.08 ADT캡스(양평.야쿠르트인재개발원.최문재),j:\공유 드라이브\2014 사진 영상\2014.12.08 ADT캡스(양평.야쿠르트인재개발원.최문재),GROUP,80,120,A,10 rowing machines visible with 10 lanes on screen and over 8 color-coded teams,,인도어,name
2014,2014.12.09 한국지역난방(용인.FLC.신입사원),j:\공유 드라이브\2014 사진 영상\2014.12.09 한국지역난방(용인.FLC.신입사원),GROUP,40,60,B,"four color-coded teams (green, red, yellow, blue) with multiple participants visible per team",,인도어,name
2014,2014.12.10 BC카드(윤대표님.FLC),j:\공유 드라이브\2014 사진 영상\2014.12.10 BC카드(윤대표님.FLC),GROUP,36,40,A,direct_counting_of_group_photo,,인도어,name
2014,2014.12.23 KCC.용인.백경훈,j:\공유 드라이브\2014 사진 영상\2014.12.23 KCC.용인.백경훈,GROUP,20,40,B,direct_count_of_approx_22_visible_plus_mentions_of_4_teams,,불명,-
2014,2014.미즈메디,j:\공유 드라이브\2014 사진 영상\2014.미즈메디,GROUP,30,60,B,6 rowing machines visible with multiple team colors and 3 session dates on banner,,인도어,evidence
2014,2014.07.16 머신점검_서울대_외대,j:\공유 드라이브\2014 사진 영상\2014.07.16 머신점검_서울대_외대,GROUP,20,60,A,20+ rowing machines visible with multiple rotations/participants,,인도어,evidence
2014,2014.07.27 서울대 부산,j:\공유 드라이브\2014 사진 영상\2014.07.27 서울대 부산,MEGA,80,120,A,direct_counting_from_group_shot_with_uniformed_teams,,아웃도어,name
2014,2014.11.06 중부발전,j:\공유 드라이브\2014 사진 영상\2014.11.06 중부발전,GROUP,31,35,A,Counted total of 31 unique names listed across four teams on the record sheet,,불명,-
2014,2014.09.20 삼보모터스(대구 평생아카데미),j:\공유 드라이브\2014 사진 영상\2014.09.20 삼보모터스(대구 평생아카데미),GROUP,30,35,A,Directly stated in article text (30+ executives and team leaders) and visible group photo.,,불명,-
2014,2014.10.30 한국중부발전,j:\공유 드라이브\2014 사진 영상\2014.10.30 한국중부발전,GROUP,32,60,B,"4 vest colors (Red, Green, Yellow, Orange) x 8-15 people per team",,불명,-
2014,2014.05.17,j:\공유 드라이브\2014 사진 영상\2014.05.17,,,,,,no_supported_images_found: no_files,N/A,-
2014,2014.05.21,j:\공유 드라이브\2014 사진 영상\2014.05.21,,,,,,no_supported_images_found: no_files,N/A,-
2014,2014.05.22,j:\공유 드라이브\2014 사진 영상\2014.05.22,,,,,,no_supported_images_found: no_files,N/A,-
2014,2014.05.23,j:\공유 드라이브\2014 사진 영상\2014.05.23,,,,,,no_supported_images_found: .mp4:1,N/A,-
2014,2014.06.11,j:\공유 드라이브\2014 사진 영상\2014.06.11,GROUP,40,60,A,"Multiple color-coded teams (Green, Red, Blue, White, Orange) with roughly 8-12 members per visible group.",,불명,-
2014,2014.06.26,j:\공유 드라이브\2014 사진 영상\2014.06.26,,,,,,no_supported_images_found: .m4v:1,N/A,-
2014,2014.07.28,j:\공유 드라이브\2014 사진 영상\2014.07.28,GROUP,48,75,B,6 colored bib teams identified with approximately 8-12 members per team visible across sessions,,불명,-
2014,2014.09.20 벤츠 일산킨텍스,j:\공유 드라이브\2014 사진 영상\2014.09.20 벤츠 일산킨텍스,MEGA,100,150,A,"12 teams listed on the screen, multiple rowing machines visible in KINTEX hall",,인도어,name
2014,2014.11.01,j:\공유 드라이브\2014 사진 영상\2014.11.01,MEGA,60,100,A,group_shot_with_visible_vests_purple_red_pink,,불명,-
2014,2014.08.02 대학조정대회,,,,,,,excluded,N/A,-
2014,2014.07.14 회사소개영상 촬영,j:\공유 드라이브\2014 사진 영상\2014.07.14 회사소개영상 촬영,,,,,,"no_supported_images_found: .mov:62, .mp4:4",N/A,-
2014,2014.07.14 효성 세빛둥둥섬 용감독 소스,j:\공유 드라이브\2014 사진 영상\2014.07.14 효성 세빛둥둥섬 용감독 소스,MEGA,277,277,A,sum of 4 PG/PU teams: 62+82+67+66 and total 28 groups mentioned in personnel operation plan,,불명,-
2014,2014.07.15 대학조정대회 인도어훈련 미사리,,,,,,,excluded,N/A,-
2014,2014.08.21 제7회 부산광역시장배 조정대회,,,,,,,excluded,N/A,-
2014,2014.05.09 춘계전국장애인조정대회,,,,,,,excluded,N/A,-
2014,2014.08.09 서울시장기 조정대회,,,,,,,excluded,N/A,-
2014,2014.11.04 장애인전국체전 미사리,,,,,,,excluded,N/A,-
2014,2014.06.27 민성정밀,j:\공유 드라이브\2014 사진 영상\2014.06.27 민성정밀,GROUP,20,35,A,manual_count_of_around_20_distinct_people_in_vests_across_4_color_groups,,불명,-
2014,2014.04.21 서울우유,j:\공유 드라이브\2014 사진 영상\2014.04.21 서울우유,GROUP,30,45,A,direct_count_from_the_group_sitting_shot,,인도어,evidence
2014,2014.11.05 전국체육대회,,,,,,,excluded,N/A,-
2014,2014.06.09 ADT캡스.대명리조트거제.백경훈,j:\공유 드라이브\2014 사진 영상\2014.06.09 ADT캡스.대명리조트거제.백경훈,GROUP,35,50,B,direct_counting_from_warmup_and_colored_bibs,,혼합,name+evidence
2014,2014.06.19 대우조선.용인FLC,j:\공유 드라이브\2014 사진 영상\2014.06.19 대우조선.용인FLC,GROUP,30,45,A,direct_counting_of_seated_participants_and_4_rowing_machines,,인도어,name
2014,2014.06.20 사노피 비체펠리스,j:\공유 드라이브\2014 사진 영상\2014.06.20 사노피 비체펠리스,GROUP,48,90,B,"6 vest colors (Red, Lime, Green, Purple, Black, White) with approx 8-15 people per team",,인도어,name
2014,2014.07.03 DSME 용인FLC,j:\공유 드라이브\2014 사진 영상\2014.07.03 DSME 용인FLC,GROUP,48,90,B,"6 colors (red, pink, orange, green, blue, yellow) identified, 8-15 people per team",,인도어,name
2014,2014.07.18 효성 세빛둥둥섬 280명,j:\공유 드라이브\2014 사진 영상\2014.07.18 효성 세빛둥둥섬 280명,MEGA,250,300,A,"Title indicates 280 people and multiple color-coded teams (pink, purple, blue) are visible in a large hall.",,불명,-
2014,2014.07.23 미사리 아웃도어 루이비통,j:\공유 드라이브\2014 사진 영상\2014.07.23 미사리 아웃도어 루이비통,GROUP,23,25,A,direct_counting_of_group_photo,,아웃도어,name
2014,2014.07.29 무의도 ADT캡스,j:\공유 드라이브\2014 사진 영상\2014.07.29 무의도 ADT캡스,GROUP,35,50,A,"4+ color-coded teams (orange, yellow, green, white/blue) with 8+ members per team visible",,아웃도어,name
2014,2014.08.27-28 삼성SDI 경주,j:\공유 드라이브\2014 사진 영상\2014.08.27-28 삼성SDI 경주,GROUP,32,60,B,"at least 4 vest colors visible (pink, blue, yellow, beige) and multiple teams mentioned (Team 2, Team 3)",,불명,-
2014,2014.08.20 메트라이프,j:\공유 드라이브\2014 사진 영상\2014.08.20 메트라이프,GROUP,32,60,A,"4 teams identified (A,B,C,D) on screen and 4 colored vest groups (Yellow, Blue, Red, Purple) visible",,인도어,evidence
2014,2014.09.19 롯데면세점 워밍업장,j:\공유 드라이브\2014 사진 영상\2014.09.19 롯데면세점 워밍업장,GROUP,24,60,B,at_least_4_colored_vests_and_6_rowing_machines,,불명,-
2014,2014.09.25 삼성SDI,j:\공유 드라이브\2014 사진 영상\2014.09.25 삼성SDI,GROUP,72,72,A,six team rosters with 12 members each shown in documentation,,불명,-
2014,2014.09.30 중부발전,j:\공유 드라이브\2014 사진 영상\2014.09.30 중부발전,GROUP,28,35,A,"Full assembly shot with green, orange, and white bib teams visible.",,불명,-
2014,2014.04.26 백석대,j:\공유 드라이브\2014 사진 영상\2014.04.26 백석대,GROUP,40,60,A,direct_counting_from_multiple_lines_and_vest_groups,,불명,-
2014,2014.03 현대해상 용감독촬영,j:\공유 드라이브\2014 사진 영상\2014.03 현대해상 용감독촬영,UNKNOWN,,,C,no_people_visible_only_logo_image,,불명,-
2014,2014.12.15 현대자동차 양평,j:\공유 드라이브\2014 사진 영상\2014.12.15 현대자동차 양평,GROUP,24,45,B,"three team colors (orange, blue, yellow) visible with 8-15 members estimated per team",,불명,-
2014,2014.11.28 삼성물산 삼성레포츠센터 김지현 김기현,j:\공유 드라이브\2014 사진 영상\2014.11.28 삼성물산 삼성레포츠센터 김지현 김기현,GROUP,34,40,A,Counted 34 unique names across 4 team lists on the scoreboards,,인도어,name
2014,2014.11.25 롯데면세점,j:\공유 드라이브\2014 사진 영상\2014.11.25 롯데면세점,GROUP,32,60,B,"4 vest colors(Green, Blue, Yellow, Red) and at least 4 rowing machines visible",,인도어,evidence
2014,2014.11.13 한국지역난방 용인FLC.백경훈,j:\공유 드라이브\2014 사진 영상\2014.11.13 한국지역난방 용인FLC.백경훈,SMALL,23,32,A,23 names on the competition scoreboard (4 teams x 5~6 members),,인도어,name
2014,2014.09.30 ADT캡스 최문재 (사진 없음),j:\공유 드라이브\2014 사진 영상\2014.09.30 ADT캡스 최문재 (사진 없음),,,,,,no_supported_images_found: .pptx:1,N/A,-
2015,2015.04.16 한국지역난방(백경훈팀장.2회차),j:\공유 드라이브\2015 사진 영상\2015.04.16 한국지역난방(백경훈팀장.2회차),,,,,,no_supported_images_found: no_files,N/A,-
